DOI,Title,Authors,Abstract,Section,Date
https://doi.org/10.48550/arXiv.2503.17363,title dancing critique enhance llm reason stepwise natural language self critique,"Yansi Li, Jiahao Xu, Tian Liang, Xingyu Chen, Zhiwei He, Qiuzhi Liu, Rui Wang, Zhuosheng Zhang, Zhaopeng Tu, Haitao Mi, Dong Yu",enhance reason capability large language model llm particularly complex task require multi step logical deduction remain significant challenge traditional inference time scale method utilize scalar reward signal process reward model evaluate candidate reason step scalar reward lack nuanced qualitative information essential understand justify step paper propose novel inference time scaling approach stepwise natural language self critique panel employ self generated natural language critique feedback guide step level search process generate rich human readable critique candidate reason step panel retain essential qualitative information facilitate good informed decision making inference approach bypass need task specific verifier associated training overhead make broadly applicable diverse task experimental result challenge reason benchmark include aime gpqa demonstrate panel significantly enhance reason performance outperform traditional scalar reward based method code available http url support encourage future research promising field,CL,21 Mar 2025
https://doi.org/10.48550/arXiv.2503.17336,title efficient intent based filtering multi party conversation use knowledge distillation llm,"Reem Gody, Mohamed Abdelghaffar, Mohammed Jabreel, Ahmed Tawfik",large language model llm showcased remarkable capability conversational ai enable open domain response chat bot well advanced processing conversation summarization intent classification insight generation however model resource intensive demand substantial memory computational power address propose cost effective solution filter conversational snippet interest llm processing tailor target downstream application rather process snippet work introduce innovative approach leverage knowledge distillation llm develop intent based filter multi party conversation optimize compute power constrain environment method combine different strategy create diverse multi party conversational dataset annotate target intent use fine tune mobilebert model multi label intent classification model achieve balance efficiency performance effectively filter conversation snippet base intent pass relevant snippet llm processing approach significantly reduce overall operational cost depend intent data distribution demonstrate experiment,CL,21 Mar 2025
https://doi.org/10.48550/arXiv.2503.17287,title fastcurl curriculum reinforcement learn progressive context extension efficient train reasoning model,"Mingyang Song, Mao Zheng, Zheng Li, Wenjie Yang, Xuan Luo, Yue Pan, Feng Zhang",paper propose fastcurl simple yet efficient cu rriculum r einforcement l earn approach context window extend strategy accelerate reinforcement learn training efficiency reasoning model enhance performance tackle complex reason task long chain of thought rationale particularly parameter language model fastcurl consists two main procedure length aware training data segmentation context window extension training specifically former first split original training data three different level input prompt length latter leverage segment train datasets progressively increase context window length train reasoning model experimental result demonstrate fastcurl surpasses five datasets include math aime amc minerva math olympiadbench utilize training step furthermore training stage complete use single node gpus,CL,21 Mar 2025
https://doi.org/10.48550/arXiv.2503.17279,title case condition aware sentence embeddings conditional semantic textual similarity measurement,"Gaifan Zhang, Yi Zhou, Danushka Bollegala",meaning convey sentence often depend context appear progress sentence embed method remain unclear best modify sentence embed condition context address problem propose condition aware sentence embeddings case efficient accurate method create embedding sentence give condition first case create embedding condition use large language model llm sentence influence attention score compute token condition pool next supervised nonlinear projection learn reduce dimensionality llm based text embeddings show case significantly outperform previously propose conditional semantic textual similarity c sts method exist standard benchmark dataset find subtract condition embed consistently improve c sts performance llm based text embeddings moreover propose supervised dimensionality reduction method reduce dimensionality llm based embeddings also significantly improve performance,CL,21 Mar 2025
https://doi.org/10.48550/arXiv.2503.17247,title tokenizers family domain specific character level tokenizers legal financial preprocessing application,"Michael J Bommarito, Daniel Martin Katz, Jillian Bommarito",present tokenizers family specialized tokenizers legal financial governmental text establish work tokenization specialized tokenizers professional domain remain understudied paper offer two main contribution introduce domain specific bpe tokenizers legal financial governmental text tokenizer use few token domain specific document small vocabulary specialized terminology cased tokenizer even efficient use few token legal term few token financial develop character level bpe tokenizers vocabulary size text correction task ocr post processing tokenizers keep consistent token boundary error containing correct text make easy model learn correction tokenizers help professional application fit text context window reduce computational need preserve meaning domain specific term analysis show efficiency gain directly benefit processing long legal financial document release tokenizers code github hug face support research specialized tokenization,CL,21 Mar 2025
https://doi.org/10.48550/arXiv.2503.17239,title safemerge preserving safety alignment fine tuned large language model selective layer wise model merging,"Aladin Djuhera, Swanand Ravindra Kadhe, Farhan Ahmed, Syed Zawad, Holger Boche",fine tuning large language model llm downstream task inadvertently erode safety alignment even benign fine tuning datasets address challenge propose safemerge post fine tuning framework preserve safety maintain task utility achieve selectively merge fine tuned safety aligned model layer deviate safe behavior measure cosine similarity criterion evaluate safemerge fine tuning  post fine tuning stage approach model pubmedqa task explore different merging strategy find safemerge consistently reduce harmful output compare baseline significantly sacrifice performance sometimes even enhance result suggest selective subspace guided per layer merging method provide effective safeguard inadvertent loss safety fine tuned llm outperform simple post fine tuning stage defense,CL,21 Mar 2025
https://doi.org/10.48550/arXiv.2503.17222,title automating adjudication cardiovascular event use large language model,"Sonish Sivarajkumar, Kimia Ameri, Chuqin Li, Yanshan Wang, Min Jiang",cardiovascular event heart attack stroke remain leading cause mortality globally necessitate meticulous monitoring adjudication clinical trial process traditionally perform manually clinical expert time consuming resource intensive prone inter reviewer variability potentially introduce bias hinder trial progress study address critical limitation present novel framework automate adjudication cardiovascular event clinical trial use large language model llm develop two stage approach first employ llm based pipeline event information extraction unstructured clinical data second use llm based adjudication process guide tree thought approach clinical endpoint committee cec guideline use cardiovascular event specific clinical trial data framework achieve event extraction accuracy adjudication furthermore introduce cleart score novel automate metric specifically design evaluate quality ai generated clinical reasoning adjudicate cardiovascular event approach demonstrate significant potential substantially reduce adjudication time cost maintain high quality consistent auditable outcome clinical trial reduced variability enhanced standardization also allow fast identification mitigation risk associate cardiovascular therapy,CL,21 Mar 2025
https://doi.org/10.48550/arXiv.2503.17211,title language anchor guided method robust noisy domain generalization,"Zilin Dai, Lehong Wang, Fangzhou Lin, Yidong Wang, Zhigang Li, Kazunori D Yamada, Ziming Zhang, Wang Lu",real world machine learning application often struggle two major challenge distribution shift label noise model tend overfit focus redundant uninformative feature training data make hard generalize target domain data worsens problem cause overfitting noise mean exist method often fail tell difference true invariant feature misleading spurious one tackle issue introduce anchor alignment adaptive weighting new algorithm use sample reweighting guide natural language processing nlp anchor extract representative feature simple term leverage semantic representation natural language model source domain invariant prior knowledge additionally employ weighted loss function adjust sample contribution base similarity corresponding nlp anchor adjustment make model robust label extensive experiment standard benchmark datasets show consistently outperform state of the art domain generalization method offer significant improvement accuracy robustness different datasets noise level,CL,21 Mar 2025
https://doi.org/10.48550/arXiv.2503.17136,title coke customizable fine grained story evaluation chain of keyword rationalization,"Brihi Joshi, Sriram Venkatapathy, Mohit Bansal, Nanyun Peng, Haw-Shiuan Chang",evaluate creative text human written story use language model always challenging task owe subjectivity multi annotator rating mimic thinking process human chain thought cot generate free text explanation help guide model prediction self consistency sc marginalize prediction multiple generated explanation study discover widely used self consistency reason method cause suboptimal result due objective mismatch generate explanation actually lead good rating prediction aspect story overcome challenge propose c hain  f  ke ywords coke generate sequence keywords generate free text rationale guide rating prediction evaluation language model generate diverse set keywords aggregate score correspond generation storyer dataset coke base small fine tuned evaluation model reach human level performance significantly outperform boost correlation human annotator also require drastically less number parameter,CL,21 Mar 2025
https://doi.org/10.48550/arXiv.2503.17126,title modify large language model post training diverse creative writing,"John Joon Young Chung, Vishakh Padmakumar, Melissa Roemmele, Yuqian Sun, Max Kreminski",creative writing task singular correct answer large language model llm train perform task able generate diverse valid output however llm post training often focus improve generation quality neglect facilitate output diversity hence creative writing generation investigate post training approach promote output diversity quality core idea include deviation degree difference training sample sample prompt training objective facilitate learn rare high quality instance adopt approach direct preference optimization dpo odds ratio preference optimization orpo demonstrate promote output diversity trained model minimally decrease quality best model parameter could achieve on par diversity human created dataset output quality similar best instruction tuned model examine validate approach human evaluation ablation comparison exist diversification approach divpo,CL,21 Mar 2025
